SDG	Active_concepts	Boosted
SDG01	Absolute Poverty	1
SDG01	Absolute Poverty Line	0
SDG01	Actual Individual Consumption	0
SDG01	Adjust Household Disposable Income	0
SDG01	Adjusted Disposable Income	0
SDG01	Agricultural Market Information System	0
SDG01	Atkinson Inequality Index	0
SDG01	Average Production Work Wage	0
SDG01	Average Production Worker	0
SDG01	Business Continuity Planning	0
SDG01	Capita Gross Domestic Product	0
SDG01	Capita Purchasing Power Parity	1
SDG01	Child Malnutrition	0
SDG01	Child-raising Allowance	0
SDG01	Chronic Food Insecurity	1
SDG01	Comprehensive Risk Analysis	0
SDG01	Country Struggle	0
SDG01	Dietary Energy	0
SDG01	Dietary Energy Consumption	0
SDG01	Disaster Risk	0
SDG01	Disaster Risk Management	0
SDG01	Disaster Risk Reduction	0
SDG01	District Primary Education Programme	0
SDG01	Donor Country Strategy	0
SDG01	Effective Average Tax Rate	0
SDG01	Employment Absorpt Ion	0
SDG01	Enhanced Structural Adjust Ment Facility	0
SDG01	Equivalence Scale Elasticity	0
SDG01	Extensive Risk	0
SDG01	Family Cash Benefit	0
SDG01	Food And Agriculture Organization	0
SDG01	Food Insecurity Risk	1
SDG01	Food Poverty	0
SDG01	Food Security	0
SDG01	Gain Income Share	0
SDG01	Global Hunger	0
SDG01	Global Hunger Index	0
SDG01	Household Benefit Income	0
SDG01	Household Disposable Income	1
SDG01	Household Income Effect	0
SDG01	In-Work Benefit	0
SDG01	Income Distribution Database	0
SDG01	Income Inequality Effect	0
SDG01	Income Polarisation	0
SDG01	Income Poverty	0
SDG01	Income Poverty Line	0
SDG01	Income-gap Ratio	0
SDG01	Increase Household Disposable Income	0
SDG01	Inequality Aversion	0
SDG01	Integrate Child Development Service	0
SDG01	Labour Utilisation	0
SDG01	Lone Parent	0
SDG01	Low Poverty Rate	1
SDG01	Lower-middle Class	0
SDG01	Manage Food Insecurity	0
SDG01	Manage Food Insecurity Risk	1
SDG01	Material Living Standard	1
SDG01	Median Adjusted Disposable Income	0
SDG01	Median Household Disposable Income	0
SDG01	Median Income Threshold	0
SDG01	Middle-upper Class	0
SDG01	Multi-adult Household	0
SDG01	National Disaster Risk Reduction	0
SDG01	Net Transfer Public	0
SDG01	Non-income Dimension	0
SDG01	Non-income Poverty	0
SDG01	Non-pension Transfer	0
SDG01	Ontario Child Care Supplement	0
SDG01	Physical Survival	1
SDG01	Poverty Agenda	0
SDG01	Poverty Gap Index	0
SDG01	Poverty Line Food	0
SDG01	Poverty Rate	1
SDG01	Poverty Reduction Effect	0
SDG01	Poverty-reduction Objective	0
SDG01	Pro-poor Growth	0
SDG01	Programmatic Resilience	0
SDG01	Public Distribution System	0
SDG01	Relative Deprivation	0
SDG01	Relative Disposable Income	0
SDG01	Relative Poverty	0
SDG01	Relative Poverty Headcount	0
SDG01	Relative Poverty Measure	0
SDG01	Resilience Agenda	0
SDG01	Resilience Building	0
SDG01	Resilience Measure	0
SDG01	Resilience System Analysis	0
SDG01	Retirement-age Population	0
SDG01	Risk Landscape	0
SDG01	Risk Management Approach	0
SDG01	Risk Reduction Disaster Management	0
SDG01	Shifting Wealth	0
SDG01	Social Assistance Amount	0
SDG01	Social Assistance Housing Benefit	0
SDG01	Social Security Contribution	0
SDG01	State Domestic Product	0
SDG01	Strong Inequality	0
SDG01	Strong Inequality Aversion	0
SDG01	Structural Adjustment Facility	0
SDG01	Substantial Poverty Reduction	1
SDG01	Tax-benefit Position	0
SDG01	Total Disposable Income	0
SDG01	Transfer Poverty Rate	1
SDG01	Transitory Food Insecurity	0
SDG01	Transitory Shock	0
SDG01	Treat Poverty Reduction	1
SDG01	Unskilled Wage	0
SDG01	Within-country Inequality	1
SDG01	Work Family Tax Credit	0
SDG01	Workless Household	0
SDG01	Access Health Care	0
SDG01	Adequate Information Flow	0
SDG01	Adult Literacy Class	0
SDG01	Agricultural Labour Force	0
SDG01	Agricultural Upgrade	0
SDG01	Agriculture Climate Change	0
SDG01	Agriculture Risk	0
SDG01	Analyse Failure	0
SDG01	Analyse Market Failure	0
SDG01	Analysis Political Economic	0
SDG01	Area Yield Insurance	0
SDG01	Asylum Seeker	0
SDG01	Bad Luck	0
SDG01	Bank Headquarter	0
SDG01	CO2 Fertilisation	0
SDG01	Cash Transfer	0
SDG01	Cash Transfer Programme	0
SDG01	Child Trust Fund	0
SDG01	Climate Change	0
SDG01	Climate Change Impact	0
SDG01	Climate Change Scenario	0
SDG01	Cohesive Society	0
SDG01	Community School	0
SDG01	Constant Relative Risk Aversion	0
SDG01	Contributory Programme	0
SDG01	Cost Effectiveness Indicator	0
SDG01	Crop Water Requirement	0
SDG01	Crop Yield	0
SDG01	Data Revolution	0
SDG01	Develop Country Report	0
SDG01	Development Assistance Committee Peer Review	0
SDG01	Development Group	0
SDG01	Development Imperative	0
SDG01	Development Narrative	0
SDG01	Developmental Food Aid	0
SDG01	Developmental State	0
SDG01	Dutch Life-course Saving Scheme	0
SDG01	Dynamic Microsimulation Model	0
SDG01	Ecological Footprint	0
SDG01	Education Minister Meeting	0
SDG01	Effective State	0
SDG01	Efficient Financial Regulation	0
SDG01	Equivalised Household Disposable Income	1
SDG01	Erty Line	0
SDG01	Export Service Export	0
SDG01	Exporter Mineral Exporter	0
SDG01	Extreme Climate Event	0
SDG01	Extreme Poverty Line	0
SDG01	Extreme Poverty Rate	0
SDG01	Extreme Precipitation	0
SDG01	Extreme Water Event	0
SDG01	Extreme Weather Event	0
SDG01	Failure Resolution	0
SDG01	Financial Efficiency	0
SDG01	Financial Market Trend	0
SDG01	Financial Regulation	0
SDG01	Finish Line	0
SDG01	Firing Penalty	0
SDG01	Food Insecurity	0
SDG01	Food Price Volatility	0
SDG01	Formal Sector Job	0
SDG01	Formal-sector Job Loser	0
SDG01	General Guide	0
SDG01	Geophysical Research Letter	0
SDG01	Gini Coefficient	0
SDG01	Global Corruption Report	0
SDG01	Global Line	0
SDG01	Global Poverty	0
SDG01	Global Threshold	0
SDG01	Good Practice Framework	0
SDG01	Governing Authority	0
SDG01	Government Development Project	0
SDG01	Gross Domestic Product	0
SDG01	Gross National Income	0
SDG01	Gross National Product	0
SDG01	Health Insurance Contribution1	0
SDG01	Health Insurance Programme	0
SDG01	Heat Wave	0
SDG01	High Human Development	0
SDG01	High Human Development Index	0
SDG01	High-Level Checklist	0
SDG01	Human Development	0
SDG01	Human Development Group	0
SDG01	Human Development Index	0
SDG01	Human Development Report Office Calculation	0
SDG01	Hunger Target	0
SDG01	IRL Ita Lux NLD PRT	0
SDG01	Identifiable Market Failure	0
SDG01	Import Staple Food	0
SDG01	In-kind Public Service	0
SDG01	Income Inequality	0
SDG01	Income Percentile	0
SDG01	Index Insurance	0
SDG01	Individual Labour Market Outcome	0
SDG01	Individual Output	0
SDG01	Inequality Adjusted Human Development Index	0
SDG01	Instrumental Rationality	0
SDG01	Insurance And Private Pension Committee	0
SDG01	Inter - Governmental Panel On Climate Change	0
SDG01	Inter-personal Redistribution	0
SDG01	Intergenerational Earning Elasticity	0
SDG01	International Policy Community	0
SDG01	International Policy Discourse	0
SDG01	International Standard Setting Body	0
SDG01	Intra-personal Redistribution	0
SDG01	Job Loser	0
SDG01	Jobless Household	0
SDG01	LIFE-COURSE Perspective	0
SDG01	Labour Market Effect	0
SDG01	Life-course Policy	0
SDG01	Life-course Saving Scheme	0
SDG01	Life-course Scheme	0
SDG01	Lifetime Income	0
SDG01	Lifetime Redistributive Impact	0
SDG01	Livestock System	0
SDG01	Local Public Official	0
SDG01	Low Human Development	0
SDG01	Low Human Development Country	0
SDG01	Low Wealth	0
SDG01	Make Democracy Work	0
SDG01	Manufacture Service Export	0
SDG01	Marginal Climate	0
SDG01	Market Income Poverty	0
SDG01	Matching Policy Objective	0
SDG01	Material Deprivation	0
SDG01	Median Net Worth	0
SDG01	Medium Human Development	0
SDG01	Microsimulation Model	0
SDG01	Middle-income High Income Unallocated Sub-Saharan	0
SDG01	Ministry Of Foreign Affair	0
SDG01	Modernise Social Policy	0
SDG01	Multidimensional Poverty	0
SDG01	Multidimensional Poverty Index	0
SDG01	Multiple Indicator Cluster Survey	0
SDG01	National Definition	0
SDG01	National Poverty Line	0
SDG01	Negative Incentive Effect	0
SDG01	Nium Development Goal	0
SDG01	Non-cash Income	0
SDG01	Non-contributory Health	0
SDG01	Non-contributory Programme	0
SDG01	Non-irrigated Farm	0
SDG01	Non-poor Household	0
SDG01	Official Aid	0
SDG01	Official Development Finance	0
SDG01	Official Poverty Line	0
SDG01	Open Working Group	0
SDG01	Output Area	0
SDG01	Output Risk	0
SDG01	Policy Output	0
SDG01	Policy Spillover	0
SDG01	Political Economy Variable	0
SDG01	Population Production Debt Relief	0
SDG01	Poverty Eradication	0
SDG01	Poverty Headcount	1
SDG01	Poverty Number	0
SDG01	Poverty Reduction	0
SDG01	Poverty Reduction Programme	0
SDG01	Precrisis Level	0
SDG01	Pro-poor Development	0
SDG01	Pro-poor Policy	0
SDG01	Public Account Committee	0
SDG01	Public Cash Transfer	0
SDG01	Public Social Spending	0
SDG01	Redistribution Strategy	0
SDG01	Reduce Food Insecurity	0
SDG01	Relative Income Poverty	0
SDG01	Relative Poverty Line	1
SDG01	Rise Sea Level	0
SDG01	Rural Nonfarm Economy	0
SDG01	Rural-urban Migration	0
SDG01	School Nutrition Programme	0
SDG01	Seguro Popular	0
SDG01	Severance Payment	0
SDG01	Severe Food Insecurity	0
SDG01	Severe Obstacle	0
SDG01	Social Infrastructure Multisector Emergency Aid	0
SDG01	Social Isolation	0
SDG01	Surveillance Function	0
SDG01	Sustained Poverty	0
SDG01	Systemic Resilience	0
SDG01	Systemic Yield Risk	0
SDG01	Tax-benefit System	0
SDG01	Total Development Assistance Committee	0
SDG01	Total Private Public	0
SDG01	Traditional Unemployment Insurance	0
SDG01	Twin Challenge	0
SDG01	Undernourished People	0
SDG01	Underweight Child	0
SDG01	Underweight Prevalence	0
SDG01	Unemployment Compensation	0
SDG01	Unemployment Compensation System	0
SDG01	Variation Proceeding	0
SDG01	Versify Structure	0
SDG01	Vulnerable Employment	0
SDG01	Water Cycle	0
SDG01	Water Quality Change	0
SDG01	Water Requirement	0
SDG01	Weak Administrative Capacity	0
SDG01	Wealth Quintile	0
SDG01	Weather Index	0
SDG01	Weather Index Insurance	0
SDG01	Weather Variation	0
SDG01	Well-functioning Financial System	0
SDG01	Woman's Interest	0
SDG01	Adequate Support	0
SDG01	Basic Standard	0
SDG01	Eastern CARIBBEAN	0
SDG01	Extreme Form	0
SDG01	Extreme Poverty	0
SDG01	International Poverty Line	0
SDG01	Maternity Benefit	0
SDG01	Natural Hazard	0
SDG01	Poverty Line	0
SDG01	Protection Benefit	0
SDG01	Regulatory Approximation	0
SDG01	School Feeding	0
SDG01	Social Protection	0
SDG01	Social Protection Benefit	0
SDG01	Social Protection Programme	0
SDG01	Social Protection System	0
SDG01	South Asia Eastern	0
SDG01	Sustainable Development Goal	0
SDG01	Sustainable Development Goal Report	0
SDG01	Address Inequality	0
SDG01	Chronic Poverty	0
SDG01	Development Co-Operation Report	0
SDG01	Development Co-operation	0
SDG01	Development Cooperation	0
SDG01	Development Cooperation Report	0
SDG01	End Poverty	0
SDG01	Extreme Income Poverty	0
SDG01	Fragile State	0
SDG01	Global Destination	0
SDG01	Global Minimum Standard	0
SDG01	Headline Indicator	0
SDG01	International Development Agenda	0
SDG01	MDG Goal	0
SDG01	Multilingual Summary	0
SDG01	Numerous Proposal	0
SDG01	Poverty Measure	0
SDG01	Reduce Income Poverty	0
SDG01	Social Discrimination	0
SDG01	Tracking Progress	0
SDG02	Achieve Food Security	0
SDG02	Achievement Sustainability	0
SDG02	Aggregate Measure Of Support	0
SDG02	Aggregate Production Function	0
SDG02	Agreement On Agriculture	0
SDG02	Agricultural Biotechnology	0
SDG02	Agricultural Botany	0
SDG02	Agricultural Commodity Price	0
SDG02	Agricultural Development Scheme	0
SDG02	Agricultural Economic	0
SDG02	Agricultural Engineer	0
SDG02	Agricultural Extension	0
SDG02	Agricultural Labour Productivity	0
SDG02	Agricultural Market Liberalisation	0
SDG02	Agricultural Mechanics	0
SDG02	Agricultural Policy Monitoring	0
SDG02	Agricultural Population	0
SDG02	Agricultural Production Structure	0
SDG02	Agricultural Productivity Growth	0
SDG02	Agricultural Research	0
SDG02	Agricultural Research Expenditure	0
SDG02	Agricultural Research Investment	0
SDG02	Agricultural Research Service	0
SDG02	Agricultural Supply Chain	0
SDG02	Agricultural Support Policy	0
SDG02	Agricultural Sustainability	0
SDG02	Agricultural System	0
SDG02	Agricultural Total Factor Productivity	0
SDG02	Agricultural Trade	0
SDG02	Agricultural Trade Policy	0
SDG02	Agricultural Trade Reform	0
SDG02	Agriculture Share	0
SDG02	Agro-ecological Region	0
SDG02	Approach Impact Assessment	0
SDG02	Area Allocation	0
SDG02	Asia Emergency Rice Reserve	0
SDG02	Asia Sub-Saharan	0
SDG02	Attainable Yield	0
SDG02	Attribution Problem	0
SDG02	Balance Diet	0
SDG02	Basel Convention	0
SDG02	Basmati Rice	0
SDG02	Beef Pigmeat Poultry	0
SDG02	Biodiesel Market	0
SDG02	Biofuel Mandate	0
SDG02	Biofuel Policy	0
SDG02	Biological Resource	0
SDG02	Biotechnology Initiative	0
SDG02	Biotechnology Product	0
SDG02	Biotechnology Research	0
SDG02	Body Mass Index	0
SDG02	Buffer Stock	0
SDG02	Butter Cheese Skim Milk Powder	0
SDG02	Caloric Availability	0
SDG02	Calorie Consumption	0
SDG02	Capita Food Supply	1
SDG02	Capital Intensive Technique	0
SDG02	Capital-land Ratio	0
SDG02	Cereal Food Aid	0
SDG02	Cereal Intervention Price	0
SDG02	Certainty Equivalent Income	0
SDG02	Child Malnutrition	1
SDG02	Chronic Food Insecurity	0
SDG02	Chronic Undernutrition	0
SDG02	Climate Smart Agriculture	0
SDG02	Compound Annual Growth Rate	0
SDG02	Conformity Assessment	0
SDG02	Constant Elasticity Of Substitution	0
SDG02	Constant Elasticity Of Transformation	0
SDG02	Constant Relative Risk Aversion	0
SDG02	Consumer Subsidy Equivalent	0
SDG02	Consumer Support Estimate	0
SDG02	Convention Of Biological Diversity	0
SDG02	Co-ordinate Market Economy	0
SDG02	Cost-benefit Ratio	0
SDG02	Counterfactual Scenario	0
SDG02	Critical Infrastructure	0
SDG02	Crop Diversification	0
SDG02	Crop Diversification Strategy	0
SDG02	Crop Yield Insurance	0
SDG02	Crude Palm Oil	0
SDG02	Current Food System	0
SDG02	Dairy Farming	0
SDG02	Decade Growth Rate	0
SDG02	Demand Supply Demand Supply	0
SDG02	Demographic And Health Survey	0
SDG02	Dense Food	0
SDG02	Develop Country Agriculture	0
SDG02	Develop Country Firm	0
SDG02	Develop Country Report	0
SDG02	Develop Eastern Region	0
SDG02	Developmental Effectiveness	0
SDG02	Dietary Choice	0
SDG02	Dietary Energy	0
SDG02	Dietary Energy Consumption	0
SDG02	Dietary Guideline	0
SDG02	Dietary Intake	0
SDG02	Direct Distribution	0
SDG02	Domestic Food	0
SDG02	Domestic Policy Set	0
SDG02	Domestic Price Volatility	0
SDG02	Eastern Mediterranean Region	0
SDG02	Economic Transformation	0
SDG02	Effective Policy Target	0
SDG02	Emergency Food Aid	0
SDG02	Emergency Rice Reserve	0
SDG02	Employment Service Organisation	0
SDG02	Employment-generation Scheme	0
SDG02	End Hunger	1
SDG02	Energy Self-reliance	0
SDG02	Entrepreneurial Capability	0
SDG02	Environmental Health Perspective	0
SDG02	Eradicate Extreme Poverty	0
SDG02	Export Processing Zone	0
SDG02	Export Rice	0
SDG02	Exporter Registration	0
SDG02	Factor Share	0
SDG02	Farm Level Analysis	0
SDG02	Farm Receipt	0
SDG02	Farm Welfare	0
SDG02	Farming System Innovation	0
SDG02	Fast Income Growth	0
