SDG	Active_concepts	Boosted
no-poverty	Absolute Poverty	1
no-poverty	Absolute Poverty Line	0
no-poverty	Actual Individual Consumption	0
no-poverty	Adjust Household Disposable Income	0
no-poverty	Adjusted Disposable Income	0
no-poverty	Agricultural Market Information System	0
no-poverty	Atkinson Inequality Index	0
no-poverty	Average Production Work Wage	0
no-poverty	Average Production Worker	0
no-poverty	Business Continuity Planning	0
no-poverty	Capita Gross Domestic Product	0
no-poverty	Capita Purchasing Power Parity	1
no-poverty	Child Malnutrition	0
no-poverty	Child-raising Allowance	0
no-poverty	Chronic Food Insecurity	1
no-poverty	Comprehensive Risk Analysis	0
no-poverty	Country Struggle	0
no-poverty	Dietary Energy	0
no-poverty	Dietary Energy Consumption	0
no-poverty	Disaster Risk	0
no-poverty	Disaster Risk Management	0
no-poverty	Disaster Risk Reduction	0
no-poverty	District Primary Education Programme	0
no-poverty	Donor Country Strategy	0
no-poverty	Effective Average Tax Rate	0
no-poverty	Employment Absorpt Ion	0
no-poverty	Enhanced Structural Adjust Ment Facility	0
no-poverty	Equivalence Scale Elasticity	0
no-poverty	Extensive Risk	0
no-poverty	Family Cash Benefit	0
no-poverty	Food And Agriculture Organization	0
no-poverty	Food Insecurity Risk	1
no-poverty	Food Poverty	0
no-poverty	Food Security	0
no-poverty	Gain Income Share	0
no-poverty	Global Hunger	0
no-poverty	Global Hunger Index	0
no-poverty	Household Benefit Income	0
no-poverty	Household Disposable Income	1
no-poverty	Household Income Effect	0
no-poverty	In-Work Benefit	0
no-poverty	Income Distribution Database	0
no-poverty	Income Inequality Effect	0
no-poverty	Income Polarisation	0
no-poverty	Income Poverty	0
no-poverty	Income Poverty Line	0
no-poverty	Income-gap Ratio	0
no-poverty	Increase Household Disposable Income	0
no-poverty	Inequality Aversion	0
no-poverty	Integrate Child Development Service	0
no-poverty	Labour Utilisation	0
no-poverty	Lone Parent	0
no-poverty	Low Poverty Rate	1
no-poverty	Lower-middle Class	0
no-poverty	Manage Food Insecurity	0
no-poverty	Manage Food Insecurity Risk	1
no-poverty	Material Living Standard	1
no-poverty	Median Adjusted Disposable Income	0
no-poverty	Median Household Disposable Income	0
no-poverty	Median Income Threshold	0
no-poverty	Middle-upper Class	0
no-poverty	Multi-adult Household	0
no-poverty	National Disaster Risk Reduction	0
no-poverty	Net Transfer Public	0
no-poverty	Non-income Dimension	0
no-poverty	Non-income Poverty	0
no-poverty	Non-pension Transfer	0
no-poverty	Ontario Child Care Supplement	0
no-poverty	Physical Survival	1
no-poverty	Poverty Agenda	0
no-poverty	Poverty Gap Index	0
no-poverty	Poverty Line Food	0
no-poverty	Poverty Rate	1
no-poverty	Poverty Reduction Effect	0
no-poverty	Poverty-reduction Objective	0
no-poverty	Pro-poor Growth	0
no-poverty	Programmatic Resilience	0
no-poverty	Public Distribution System	0
no-poverty	Relative Deprivation	0
no-poverty	Relative Disposable Income	0
no-poverty	Relative Poverty	0
no-poverty	Relative Poverty Headcount	0
no-poverty	Relative Poverty Measure	0
no-poverty	Resilience Agenda	0
no-poverty	Resilience Building	0
no-poverty	Resilience Measure	0
no-poverty	Resilience System Analysis	0
no-poverty	Retirement-age Population	0
no-poverty	Risk Landscape	0
no-poverty	Risk Management Approach	0
no-poverty	Risk Reduction Disaster Management	0
no-poverty	Shifting Wealth	0
no-poverty	Social Assistance Amount	0
no-poverty	Social Assistance Housing Benefit	0
no-poverty	Social Security Contribution	0
no-poverty	State Domestic Product	0
no-poverty	Strong Inequality	0
no-poverty	Strong Inequality Aversion	0
no-poverty	Structural Adjustment Facility	0
no-poverty	Substantial Poverty Reduction	1
no-poverty	Tax-benefit Position	0
no-poverty	Total Disposable Income	0
no-poverty	Transfer Poverty Rate	1
no-poverty	Transitory Food Insecurity	0
no-poverty	Transitory Shock	0
no-poverty	Treat Poverty Reduction	1
no-poverty	Unskilled Wage	0
no-poverty	Within-country Inequality	1
no-poverty	Work Family Tax Credit	0
no-poverty	Workless Household	0
no-poverty	Access Health Care	0
no-poverty	Adequate Information Flow	0
no-poverty	Adult Literacy Class	0
no-poverty	Agricultural Labour Force	0
no-poverty	Agricultural Upgrade	0
no-poverty	Agriculture Climate Change	0
no-poverty	Agriculture Risk	0
no-poverty	Analyse Failure	0
no-poverty	Analyse Market Failure	0
no-poverty	Analysis Political Economic	0
no-poverty	Area Yield Insurance	0
no-poverty	Asylum Seeker	0
no-poverty	Bad Luck	0
no-poverty	Bank Headquarter	0
no-poverty	CO2 Fertilisation	0
no-poverty	Cash Transfer	0
no-poverty	Cash Transfer Programme	0
no-poverty	Child Trust Fund	0
no-poverty	Climate Change	0
no-poverty	Climate Change Impact	0
no-poverty	Climate Change Scenario	0
no-poverty	Cohesive Society	0
no-poverty	Community School	0
no-poverty	Constant Relative Risk Aversion	0
no-poverty	Contributory Programme	0
no-poverty	Cost Effectiveness Indicator	0
no-poverty	Crop Water Requirement	0
no-poverty	Crop Yield	0
no-poverty	Data Revolution	0
no-poverty	Develop Country Report	0
no-poverty	Development Assistance Committee Peer Review	0
no-poverty	Development Group	0
no-poverty	Development Imperative	0
no-poverty	Development Narrative	0
no-poverty	Developmental Food Aid	0
no-poverty	Developmental State	0
no-poverty	Dutch Life-course Saving Scheme	0
no-poverty	Dynamic Microsimulation Model	0
no-poverty	Ecological Footprint	0
no-poverty	Education Minister Meeting	0
no-poverty	Effective State	0
no-poverty	Efficient Financial Regulation	0
no-poverty	Equivalised Household Disposable Income	1
no-poverty	Erty Line	0
no-poverty	Export Service Export	0
no-poverty	Exporter Mineral Exporter	0
no-poverty	Extreme Climate Event	0
no-poverty	Extreme Poverty Line	0
no-poverty	Extreme Poverty Rate	0
no-poverty	Extreme Precipitation	0
no-poverty	Extreme Water Event	0
no-poverty	Extreme Weather Event	0
no-poverty	Failure Resolution	0
no-poverty	Financial Efficiency	0
