Publisher	Indic_title	indic_doi	Indic_group	SDG	SDG_secondary	SDG_tertiary
OECD	Meat consumption	10.1787/fa290fd0-en	Agricultural output	responsible-consumption	zero-hunger	
OECD	Crop production	10.1787/49a4e677-en	Agricultural output	life-on-land	zero-hunger	
OECD	Agricultural support	10.1787/6ea85c58-en	Agricultural policy	life-on-land	responsible-consumption	
OECD	Producer protection	10.1787/f99067c0-en	Agricultural policy	life-on-land	responsible-consumption	
OECD	Air and GHG emissions	10.1787/93d10cf7-en	Air and climate	climate-action	responsible-consumption	
OECD	Mobile broadband subscriptions	10.1787/1277ddc6-en	Broadband access	industry-innovation-and-infrastructure	partnerships-for-the-goals	
OECD	Business use of broadband	10.1787/6e2e8a67-en	Broadband access	industry-innovation-and-infrastructure		
OECD	Households with broadband access	10.1787/f9b84af5-en	Broadband access	industry-innovation-and-infrastructure	reduced-inequalities	
OECD	Fixed broadband subscriptions	10.1787/902e48ee-en	Broadband access	industry-innovation-and-infrastructure	partnerships-for-the-goals	
OECD	Exchange rates	10.1787/037ed317-en	Conversion rates	reduced-inequalities		
OECD	Purchasing power parities (PPP)	10.1787/1290ee5a-en	Conversion rates	reduced-inequalities		
OECD	Value-added in non-financial corporations	10.1787/731f0874-en	Corporate sector			
OECD	Value-added in financial corporations	10.1787/f891bfeb-en	Corporate sector			
OECD	Financial corporations debt to equity ratio	10.1787/a3108a99-en	Corporate sector			
OECD	Banking sector leverage	10.1787/027a0800-en	Corporate sector			
OECD	Non-Financial corporations debt to surplus ratio	10.1787/dc95ffa7-en	Corporate sector			
NCM	Visits to museums	10.6027/21a86541-en	Culture	quality-education		
NCM	Lending in public libraries	10.6027/3f3f95fd-en	Culture	quality-education		
NCM	Visits to theatres	10.6027/ce44421f-en	Culture			
NCM	Government spending on culture and leisure	10.6027/4763cde5-en	Culture	sustainable-cities		
NCM	Granted asylum	10.6027/53b61168-en	Demography	reduced-inequalities		
NCM	Population density	10.6027/3dfedd09-en	Demography	sustainable-cities		
NCM	Elderly population	10.6027/2bee6de6-en	Demography	sustainable-cities		
OECD	Fertility rates	10.1787/8272fb01-en	Demography	good-health	gender-equality	
NCM	Induced abortions	10.6027/524a2652-en	Demography	gender-equality	good-health	
NCM	Fertility rate	10.6027/71e0882a-en	Demography	gender-equality	good-health	
OECD	Working age population	10.1787/d339918b-en	Demography	decent-work-growth		
NCM	Population	10.6027/3798009a-en	Demography	sustainable-cities		
OECD	Population	10.1787/d434f82b-en	Demography	sustainable-cities		
OECD	Young population	10.1787/3d774f19-en	Demography	sustainable-cities		
OECD	Elderly population	10.1787/8d805ea1-en	Demography	sustainable-cities		
OECD	Other official flows (OOF)	10.1787/6afef3df-en	Development resource flows	reduced-inequalities		
OECD	Private flows	10.1787/4d31a9d6-en	Development resource flows	reduced-inequalities		
OECD	Grants by private agencies and NGOs	10.1787/a42ccf0e-en	Development resource flows	reduced-inequalities		
OECD	Total official and private flows	10.1787/52c1b6b4-en	Development resource flows	reduced-inequalities		
OECD	Gender wage gap	10.1787/7cee77aa-en	Earnings and wages	gender-equality	reduced-inequalities	
OECD	Employee compensation by activity	10.1787/7af78603-en	Earnings and wages	decent-work-growth		
OECD	Wage levels	10.1787/0a1c27bc-en	Earnings and wages	decent-work-growth		
OECD	Average wages	10.1787/cc3e1387-en	Earnings and wages	decent-work-growth		
NCM	House price index	10.6027/8c55fed5-en	Economy	sustainable-cities		
NCM	Real GDP growth rate	10.6027/090b9e27-en	Economy			
NCM	Service sector	10.6027/775733e5-en	Economy	industry-innovation-and-infrastructure		
NCM	General government expenditure	10.6027/f743d6a9-en	Economy	decent-work-growth		
NCM	Government aid to developing countries	10.6027/e944badd-en	Economy	decent-work-growth	partnerships-for-the-goals	
NCM	Taxes and social security contributions	10.6027/fde68a60-en	Economy			
NCM	Gross Domestic Product (GDP)	10.6027/06038d41-en	Economy			
NCM	Financial support per student	10.6027/f451c825-en	Education	quality-education		
NCM	Public spending on education	10.6027/5bd2fd1f-en	Education	quality-education		
NCM	Level of education achieved	10.6027/0edf1867-en	Education	quality-education		
NCM	Students performance	10.6027/077b67a4-en	Education	quality-education		
OECD	Graduation rate	10.1787/b858e05b-en	Education attainment	quality-education		
OECD	Enrolment rate	10.1787/1d7e7216-en	Education attainment	quality-education		
OECD	Population with tertiary education	10.1787/0b8f90e9-en	Education attainment	quality-education		
OECD	Adult education level	10.1787/36bce3fe-en	Education attainment	quality-education		
OECD	Education spending	10.1787/ca274bac-en	Education resources	quality-education		
OECD	Women teachers	10.1787/ee964f55-en	Education resources	quality-education	gender-equality	
OECD	Teaching hours	10.1787/af23ce9b-en	Education resources	quality-education		
OECD	Spending on tertiary education	10.1787/a3523185-en	Education resources	quality-education		
OECD	Public spending on education	10.1787/f99b45d0-en	Education resources	quality-education		
OECD	Teachers' salaries	10.1787/f689fb91-en	Education resources	quality-education		
OECD	Teachers	10.1787/93af1f9d-en	Education resources	quality-education		
OECD	Number of students	10.1787/efa0dd43-en	Education resources	quality-education		
OECD	Teaching staff	10.1787/6a32426b-en	Education resources	quality-education		
OECD	Private spending on education	10.1787/6e70bede-en	Education resources	quality-education		
OECD	School principals	10.1787/206df7b1-en	Education resources	quality-education		
OECD	Part-time employment rate	10.1787/f2ad596c-en	Employment	decent-work-growth		
OECD	Labour force participation rate	10.1787/8a801325-en	Employment	decent-work-growth		
OECD	Temporary employment	10.1787/75589b8a-en	Employment	decent-work-growth		
OECD	Labour force forecast	10.1787/c6d4db79-en	Employment	decent-work-growth		
OECD	Self-employment rate	10.1787/fb58715e-en	Employment	decent-work-growth		
